;ORIGIN;DEST;Quarter;TotalPax;TotalFare;AverageFare;Year
1563;DEN;LGA;1;8142;1620193.87;198.99212356;2013
1564;DEN;MCO;1;6535;1391401.68;212.91532976;2013
1565;DEN;MIA;1;1755;447991.68;255.26591453;2013
1566;DEN;MSP;1;7654;1052820.79;137.55171022;2013
1567;DEN;ORD;1;6640;1219976.72;183.73143373;2013
1568;DEN;PHL;1;4143;930817.12;224.67224716;2013
1569;DEN;PHX;1;14503;1739468.13;119.93850445;2013
1570;DEN;SEA;1;6388;1058435.34;165.69119286;2013
1571;DEN;SFO;1;8115;1568003.57;193.22286753;2013
1572;DFW;ATL;1;9246;2023360.44;218.8363011;2013
1573;DFW;BOS;1;5570;1284429.25;230.59771095;2013
1574;DFW;CLT;1;2830;828830.44;292.872947;2013
1575;DFW;DEN;1;9732;1401747.79;144.03491471;2013
1576;DFW;DTW;1;4311;881523.71;204.48241939;2013
1577;DFW;EWR;1;4892;1612401.11;329.59957277;2013
1578;DFW;IAH;1;3324;459527.56;138.24535499;2013
1579;DFW;JFK;1;756;192240.96;254.28698413;2013
1580;DFW;LAS;1;8048;1484426.6;184.44664513;2013
1581;DFW;LAX;1;9289;2186742.53;235.41204974;2013
1582;DFW;LGA;1;8625;2833818.13;328.55862377;2013
1583;DFW;MCO;1;6035;1256482.64;208.19927755;2013
1584;DFW;MIA;1;2569;703878.25;273.98919813;2013
1585;DFW;MSP;1;3987;879955.46;220.70616002;2013
1586;DFW;ORD;1;10831;2266638.94;209.27328409;2013
1587;DFW;PHL;1;4635;1250308.39;269.75369795;2013
1588;DFW;PHX;1;4816;1096050.13;227.58515988;2013
1589;DFW;SEA;1;4323;1058259.27;244.7974254;2013
1590;DFW;SFO;1;7071;1664540.6;235.4038467;2013
1591;DTW;ATL;1;4353;902791.65;207.39527912;2013
1592;DTW;BOS;1;2202;694610.59;315.44531789;2013
1593;DTW;CLT;1;1399;411969.97;294.47460329;2013
1594;DTW;DEN;1;3982;683409.78;171.6247564;2013
1595;DTW;DFW;1;4379;890900.49;203.44838776;2013
1596;DTW;EWR;1;1819;566342.74;311.34840022;2013
1597;DTW;IAH;1;1843;612727.1;332.46180141;2013
1598;DTW;JFK;1;462;114393.17;247.60426407;2013
1599;DTW;LAS;1;8233;1565232.07;190.11685534;2013
1600;DTW;LAX;1;5033;1473841.21;292.83552752;2013
1601;DTW;LGA;1;6966;1424428.16;204.48293999;2013
1602;DTW;MCO;1;10591;1888364.23;178.29895477;2013
1603;DTW;MIA;1;3023;639118.29;211.41855442;2013
1604;DTW;MSP;1;1801;596970.54;331.46615214;2013
1605;DTW;ORD;1;4077;618858.93;151.79272259;2013
1606;DTW;PHL;1;2005;596950.48;297.73091272;2013
1607;DTW;PHX;1;4585;1156056.17;252.13875027;2013
1608;DTW;SEA;1;1445;470841.76;325.84204844;2013
1609;DTW;SFO;1;2449;831539.6;339.54250715;2013
1610;EWR;ATL;1;5566;1330715.41;239.07930471;2013
1611;EWR;BOS;1;5138;808019.36;157.2634021;2013
1612;EWR;CLT;1;2620;551417.69;210.46476718;2013
1613;EWR;DEN;1;3996;966762.81;241.93263514;2013
1614;EWR;DFW;1;4901;1590479.16;324.52135483;2013
1615;EWR;DTW;1;1825;555614.34;304.4462137;2013
1616;EWR;IAH;1;4450;1548927.79;348.07366067;2013
1617;EWR;LAS;1;5025;1673278.23;332.99069254;2013
1618;EWR;LAX;1;5361;2342120.76;436.88132065;2013
1619;EWR;MCO;1;11445;2129438.17;186.05838095;2013
1620;EWR;MIA;1;6062;1371173.08;226.19153415;2013
1621;EWR;MSP;1;1747;702813.42;402.29732112;2013
1622;EWR;ORD;1;6052;1705437.78;281.79738599;2013
1623;EWR;PHL;1;3;1012.49;337.49666667;2013
