;AverageFare;Ref
3563;316;14 16 4 201
3564;282;14 17 1 201
3565;282;14 17 2 201
3566;282;14 17 3 201
3567;282;14 17 4 201
3568;172;14 17 1 201
3569;172;14 17 2 201
3570;172;14 17 3 201
3571;172;14 17 4 201
3572;172;14 17 1 201
3573;172;14 17 2 201
3574;282;14 17 3 201
3575;282;14 17 4 201
3576;286;14 18 1 201
3577;286;14 18 2 201
3578;286;14 18 3 201
3579;286;14 18 4 201
3580;172;14 18 1 201
3581;172;14 18 2 201
3582;172;14 18 3 201
3583;172;14 18 4 201
3584;172;14 18 1 201
3585;172;14 18 2 201
3586;286;14 18 3 201
3587;286;14 18 4 201
3588;259;14 19 1 201
3589;259;14 19 2 201
3590;259;14 19 3 201
3591;259;14 19 4 201
3592;172;14 19 1 201
3593;172;14 19 2 201
3594;172;14 19 3 201
3595;172;14 19 4 201
3596;172;14 19 1 201
3597;172;14 19 2 201
3598;259;14 19 3 201
3599;259;14 19 4 201
3600;230;15 0 1 2011
3601;230;15 0 2 2011
3602;230;15 0 3 2011
3603;230;15 0 4 2011
3604;172;15 0 1 2012
3605;172;15 0 2 2012
3606;172;15 0 3 2012
3607;172;15 0 4 2012
3608;172;15 0 1 2013
3609;172;15 0 2 2013
3610;230;15 0 3 2013
3611;230;15 0 4 2013
3612;130;15 1 1 2011
3613;130;15 1 2 2011
3614;130;15 1 3 2011
3615;130;15 1 4 2011
3616;172;15 1 1 2012
3617;172;15 1 2 2012
3618;172;15 1 3 2012
3619;172;15 1 4 2012
3620;172;15 1 1 2013
3621;172;15 1 2 2013
3622;130;15 1 3 2013
3623;130;15 1 4 2013
3624;267;15 2 1 2011
3625;267;15 2 2 2011
3626;267;15 2 3 2011
3627;267;15 2 4 2011
3628;172;15 2 1 2012
3629;172;15 2 2 2012
3630;172;15 2 3 2012
3631;172;15 2 4 2012
3632;172;15 2 1 2013
3633;172;15 2 2 2013
3634;267;15 2 3 2013
3635;267;15 2 4 2013
3636;237;15 3 1 2011
3637;237;15 3 2 2011
3638;237;15 3 3 2011
3639;237;15 3 4 2011
3640;172;15 3 1 2012
3641;172;15 3 2 2012
3642;172;15 3 3 2012
3643;172;15 3 4 2012
3644;172;15 3 1 2013
3645;172;15 3 2 2013
3646;237;15 3 3 2013
3647;237;15 3 4 2013
3648;140;15 4 1 2011
3649;140;15 4 2 2011
3650;140;15 4 3 2011
3651;140;15 4 4 2011
3652;172;15 4 1 2012
3653;172;15 4 2 2012
3654;172;15 4 3 2012
3655;172;15 4 4 2012
3656;172;15 4 1 2013
3657;172;15 4 2 2013
3658;140;15 4 3 2013
3659;140;15 4 4 2013
3660;217;15 5 1 2011
3661;217;15 5 2 2011
3662;217;15 5 3 2011
3663;217;15 5 4 2011
3664;172;15 5 1 2012
3665;172;15 5 2 2012
3666;172;15 5 3 2012
3667;172;15 5 4 2012
3668;172;15 5 1 2013
3669;172;15 5 2 2013
3670;217;15 5 3 2013
3671;217;15 5 4 2013
3672;297;15 6 1 2011
3673;297;15 6 2 2011
3674;297;15 6 3 2011
3675;297;15 6 4 2011
